"","x"
"534",132272
"535",169155
"536",313156
"537",7691
"538",109638
"539",143875
"540",323988
"541",287869
"542",284868
"543",105146
"544",299201
"545",131393
"546",108046
"547",328398
"548",120106
"549",328429
"550",310369
"551",124062
"552",167513
"553",110342
"554",290070
"555",156302
"556",119630
"557",288217
"558",131008
"559",318258
"560",169293
"561",131692
"562",126021
"563",316746
"564",158020
"565",288615
"566",322138
"567",321885
"568",166815
"569",315089
"570",310106
"571",285633
"572",327643
"573",282557
"574",118643
"575",156699
"576",160972
"577",327983
"578",170858
"579",288817
"580",326140
"581",312072
"582",325145
"583",163089
"584",328437
"585",131619
"586",116537
"587",317663
"588",326791
"589",312546
"590",157359
"591",299798
"592",319755
"593",136591
"594",175502
"595",288011
"596",167103
"597",326810
"598",171026
"599",108634
"600",129049
"601",325133
"602",156361
"603",110398
"604",328227
"605",325636
"606",290399
"607",152892
"608",312325
"609",159388
"610",120642
"611",298140
"612",160580
"613",108153
"614",148282
"615",300114
"616",108113
"617",107505
"618",288792
"619",170307
"620",281762
"621",323713
"622",108724
"623",110005
"624",120943
"625",327105
"626",135284
"627",116837
"628",311391
"629",172198
"630",104842
"631",131684
"632",133705
"633",151070
"634",131129
"635",319774
"636",165214
"637",116798
"638",128059
"639",106789
"640",294025
"641",117201
"642",174239
"643",152820
"644",286037
"645",170201
"646",157109
"647",293329
"648",129505
"649",170125
"650",161083
"651",300966
"652",291755
"653",287906
"654",112308
"655",160963
"656",312176
"657",269897
"658",138901
"659",282405
"660",124925
"661",148315
"662",315227
"663",168551
"664",298137
"665",324173
"666",313081
"667",317365
"668",165984
"669",306308
"670",282973
"671",169641
"672",106237
"673",151222
"674",104925
"675",155782
"676",286195
"677",115489
"678",110275
"679",242793
"680",154494
"681",125678
"682",322545
"683",327967
"684",315570
"685",151425
"686",154854
"687",174306
"688",130198
"689",326267
"690",286001
"691",114575
"692",316415
"693",127654
"694",157091
"695",328303
"696",110663
"697",130099
"698",106259
"699",110228
"700",109018
"701",284468
"702",110518
"703",309323
"704",25803
"705",111470
"706",106628
"707",111685
"708",107768
"709",421
"710",307977
"711",109174
"712",105646
"713",305581
"714",172087
"715",141354
"716",105642
"717",166118
"718",290719
"719",172370
"720",143323
"721",1254
"722",281067
"723",127145
"724",140451
"725",321735
"726",295393
"727",150114
"728",152711
"729",327996
"730",142810
"731",140944
"732",158090
"733",316699
"734",169009
"735",299036
"736",318958
"737",128583
"738",321102
"739",123465
"740",315827
"741",134628
"742",147110
"743",284838
"744",173929
"745",288239
"746",159952
"747",123524
"748",288178
"749",287768
"750",131540
"751",326819
"752",171898
"753",286174
"754",164429
"755",106680
"756",157423
"757",327001
"758",311735
"759",288037
"760",322923
"761",289589
"762",110301
"763",318662
"764",107148
"765",287467
"766",318169
"767",30177
"768",284645
"769",325982
"770",148459
"771",283816
"772",153405
"773",310839
"774",315628
"775",145658
"776",152930
"777",321972
"778",152569
"779",133763
"780",161017
"781",311687
"782",297351
"783",316323
"784",130478
"785",110921
"786",169787
"787",325125
"788",152640
"789",290694
"790",107126
"791",172555
"792",109420
"793",155053
"794",327283
"795",172470
"796",305308
"797",143161
"798",123898
"799",326699
"800",133673
"801",327418
"802",31194
"803",307171
"804",325116
"805",281838
"806",316731
"807",314432
"808",119933
"809",169885
"810",157047
"811",167539
"812",107738
"813",326601
"814",149777
"815",139856
"816",112694
"817",305614
"818",281285
"819",110904
"820",154057
"821",301007
"822",129403
"823",113110
"824",104556
"825",285921
"826",313378
"827",159390
"828",284749
"829",153799
"830",107545
"831",171847
"832",155193
"833",226575
"834",106993
"835",310099
"836",319011
"837",291254
"838",322229
"839",301925
"840",327176
"841",106920
"842",289848
"843",310520
"844",321962
"845",323978
"846",115974
"847",104604
"848",107027
"849",150054
"850",292882
"851",300006
"852",104576
"853",106434
"854",135879
"855",131940
"856",125352
"857",160367
"858",161705
"859",111535
"860",119598
"861",306374
"862",310788
"863",158401
"864",323770
"865",317837
"866",121399
"867",323365
"868",317834
"869",153195
"870",289075
"871",283034
"872",167122
"873",115738
"874",298234
"875",317544
"876",284862
"877",306166
"878",309454
"879",112995
"880",127066
"881",286340
"882",328327
"883",3618
"884",155528
"885",396
"886",136719
"887",140643
"888",297305
"889",317064
"890",286175
"891",109392
"892",166606
"893",304237
"894",167183
"895",169491
"896",150515
"897",116407
"898",282814
"899",106741
"900",328441
"901",284064
"902",106743
"903",107119
"904",324027
"905",145051
"906",122433
"907",104868
"908",310401
"909",153723
"910",167623
"911",127987
"912",114584
"913",168794
"914",314979
"915",155576
"916",285763
"917",327527
"918",150762
"919",153559
"920",292277
"921",283743
"922",107138
"923",311857
"924",167908
"925",141577
"926",325411
"927",104705
"928",291069
"929",110870
"930",316994
"931",328278
"932",322263
"933",318769
"934",280033
"935",327552
"936",173194
"937",153395
"938",311869
"939",308377
"940",164947
"941",173627
"942",109651
"943",169704
"944",311364
"945",282711
"946",108561
"947",291386
"948",128900
"949",161703
"950",300282
"951",312450
"952",208512
"953",110858
"954",134045
"955",161327
"956",159289
"957",325042
"958",168263
"959",131704
"960",283184
"961",304022
"962",168998
"963",165474
"964",296462
"965",305439
"966",106918
"967",20999
"968",290683
"969",312712
"970",144533
"971",131750
"972",125601
"973",109905
"974",328270
"975",292246
"976",306595
"977",327562
"978",318606
"979",290198
"980",118077
"981",106340
"982",282179
"983",304170
"984",111895
"985",325175
"986",325829
"987",145508
"988",327530
"989",164755
"990",283472
"991",299654
"992",284801
"993",282707
"994",288894
"995",301025
"996",122394
"997",140500
"998",104518
"999",42057
"1000",705
"1001",104932
"1002",132137
"1003",324665
"1004",327831
"1005",111361
"1006",327012
"1007",170674
"1008",321832
"1009",160333
"1010",311654
"1011",104612
"1012",152869
"1013",10740
"1014",105455
"1015",324043
"1016",116543
"1017",320759
"1018",324624
"1019",155459
"1020",308174
"1021",151559
"1022",105903
"1023",123859
"1024",300914
"1025",328248
"1026",108232
"1027",310490
"1028",123560
"1029",282563
"1030",311014
"1031",106012
"1032",134249
"1033",107272
"1034",286622
"1035",297573
"1036",316012
"1037",326664
"1038",35371
"1039",1588
"1040",316024
"1041",324255
"1042",314500
"1043",173120
"1044",296847
"1045",132122
"1046",288562
"1047",327455
"1048",310149
"1049",299704
"1050",328154
"1051",305091
"1052",111990
"1053",328155
"1054",166823
"1055",108642
"1056",158540
"1057",153255
"1058",324833
"1059",106181
"1060",110562
"1061",105926
"1062",140808
"1063",327175
"1064",134009
"1065",142885
"1066",106075
"1067",327585
"1068",14762
"1069",301383
"1070",318830
"1071",106003
"1072",152802
"1073",328113
"1074",114787
"1075",108559
"1076",110826
"1077",22998
"1078",313352
"1079",291962
"1080",306953
"1081",155020
"1082",283825
"1083",283632
"1084",306208
"1085",156812
"1086",141694
"1087",327875
"1088",156878
"1089",315457
"1090",307358
"1091",314650
"1092",288263
"1093",314558
"1094",151088
"1095",284407
"1096",108352
"1097",108281
"1098",305254
"1099",113681
"1100",159256
"1101",305001
"1102",328000
"1103",324524
"1104",164038
"1105",168005
"1106",111787
"1107",306341
"1108",168120
"1109",141024
"1110",111436
"1111",174328
"1112",309242
"1113",291090
"1114",286109
"1115",320832
"1116",165704
"1117",326711
"1118",314872
"1119",289923
"1120",316224
"1121",111167
"1122",137137
"1123",160483
"1124",134600
"1125",293945
"1126",297506
"1127",166886
"1128",153184
"1129",289817
"1130",104233
"1131",105724
"1132",322094
"1133",148239
"1134",301971
"1135",283880
"1136",319010
"1137",284218
"1138",305173
"1139",119829
"1140",297192
"1141",171306
"1142",170602
"1143",308057
"1144",79
"1145",107722
"1146",1037
"1147",112506
"1148",110593
"1149",324943
"1150",159294
"1151",171107
"1152",316585
"1153",313653
"1154",113858
"1155",19585
"1156",311142
"1157",287937
"1158",110181
"1159",168985
"1160",106375
"1161",308446
"1162",107975
"1163",287919
"1164",167163
"1165",148565
"1166",172793
"1167",326468
"1168",282827
"1169",288076
"1170",157610
"1171",118025
"1172",297462
"1173",110550
"1174",152254
"1175",309056
"1176",105974
"1177",148296
"1178",328251
"1179",249
"1180",157138
"1181",145323
"1182",133795
"1183",138757
"1184",297165
"1185",326470
"1186",293264
"1187",327608
"1188",104716
"1189",162442
"1190",174447
"1191",306195
"1192",107735
"1193",282031
"1194",322394
"1195",106107
"1196",114862
"1197",105818
"1198",115756
"1199",15916
"1200",157121
"1201",289307
"1202",288705
"1203",305060
"1204",170303
"1205",327388
"1206",164198
"1207",7461
"1208",168410
"1209",111838
"1210",290937
"1211",300436
"1212",110265
"1213",112091
"1214",143767
"1215",327531
"1216",107982
"1217",299602
"1218",175362
"1219",108881
"1220",144928
"1221",128676
"1222",152776
"1223",326204
"1224",325595
"1225",142683
"1226",168228
"1227",285252
"1228",110264
"1229",146382
"1230",321099
"1231",152977
"1232",322902
"1233",306639
"1234",140777
