,0
0,157216
1,314119
2,284959
3,300956
4,309765
5,310214
6,313308
7,330039
8,302068
9,165345
10,269928
11,332556
12,310136
13,162461
14,161930
15,330745
16,319399
17,289165
18,328555
19,319424
20,161092
21,316487
22,298029
23,322087
24,297626
25,160515
26,321232
27,287923
28,160900
29,289087
30,308938
31,315256
32,162652
33,324979
34,324735
35,159746
36,314513
37,171174
38,323538
39,329357
40,324330
41,163005
42,152244
43,161796
44,162463
45,162041
46,168427
47,289786
48,299903
49,326828
50,174311
51,161920
52,165365
53,329751
54,188519
55,309959
56,330779
57,328031
58,309465
59,283298
60,318277
61,326882
62,315503
63,311206
64,300608
65,315330
66,328822
67,291942
68,328978
69,290704
70,160677
71,308380
72,163520
73,170221
74,300974
75,326759
76,307665
77,157501
78,320731
79,164965
80,317447
81,282922
82,163201
83,333417
84,330049
85,317820
86,308165
87,304571
88,333087
89,166274
90,333406
91,170169
92,289964
93,328576
94,160112
95,289991
96,166302
97,171083
98,125053
99,293867
100,315894
101,317681
102,159568
103,312765
104,175414
105,331819
106,289442
107,174123
108,162015
109,331599
110,173927
111,162830
112,301889
113,160993
114,308878
115,323052
116,161513
117,287752
118,317100
119,160633
120,319574
121,327755
122,283436
123,171870
124,323231
125,161676
126,298267
127,321920
128,330520
129,288681
130,316609
131,332205
132,325472
133,313723
134,226602
135,157246
136,319009
137,164104
138,324994
139,161620
140,310303
141,332683
142,174076
143,243789
144,162788
145,162113
146,326115
147,166680
148,299870
149,290337
150,306949
151,271036
152,333095
153,322751
154,313542
155,307630
156,318832
157,291388
158,318337
159,329020
160,326456
161,164063
162,312616
163,163260
164,315071
165,162345
166,298933
167,177528
168,313952
169,327954
170,282368
171,317184
172,328919
173,310726
174,163667
175,317404
176,327298
177,326349
178,315099
179,328368
180,286664
181,161827
182,282513
183,314354
184,319450
185,324017
186,322847
187,309510
188,162154
189,323298
190,329868
191,117815
192,325776
193,283132
194,165827
195,284381
196,326314
197,297656
198,308933
199,173088
200,323771
201,313693
202,157922
203,163090
204,329933
205,289569
206,294882
207,293249
208,162989
209,161847
210,299567
211,301966
212,308475
213,163881
214,299843
215,329232
216,329815
217,309384
218,327556
219,172833
220,323953
221,161447
222,308978
223,317080
224,313330
225,330178
226,312046
227,324939
228,162513
229,166493
230,324710
231,327638
232,163181
233,300911
234,317910
235,306018
236,281571
237,284664
238,327071
239,161685
240,296897
241,162116
242,163586
243,330705
244,332436
245,327719
246,162760
247,297739
248,318767
249,308415
250,328384
251,163334
252,162533
253,284798
254,163364
255,309488
256,171814
257,316164
258,323481
259,319569
260,298710
261,167937
262,159838
263,325870
264,174132
265,321956
266,329964
267,138648
268,305456
269,328661
270,329408
271,321150
272,294007
273,327059
274,289341
275,299690
276,312847
277,160994
278,167850
279,326636
280,330253
281,327955
282,332081
283,295647
284,314073
285,296502
286,317436
287,170971
288,327782
289,333408
290,319057
291,323607
292,322243
293,163866
294,312931
295,319138
296,308981
297,175090
298,283875
299,282494
300,306736
301,307143
302,172817
303,329198
304,322180
305,298455
306,285951
307,327952
308,285491
309,315272
310,312023
311,331676
312,163395
313,288228
314,326031
315,334012
316,162089
317,312506
318,292364
319,301716
320,307383
321,312011
322,161103
323,324180
324,310675
325,299325
326,324793
327,321928
328,311866
329,161890
330,331166
331,297085
332,147740
333,172471
334,158075
335,289173
336,161912
337,311659
338,282191
339,160989
340,175227
341,170704
342,288264
343,331797
344,158461
345,294326
346,288186
347,318906
348,284800
349,306610
350,288752
351,318627
352,329979
353,325478
354,324683
355,298873
356,163354
357,301473
358,163176
359,300468
360,295204
361,163492
362,284169
363,175221
364,318923
365,293295
366,317079
367,301196
368,163541
369,308516
370,316886
371,282493
372,297509
373,164246
374,167803
375,326598
376,300127
377,315283
378,308051
379,286156
380,162052
381,283782
382,328741
383,170056
384,304394
385,305335
386,175074
387,163281
388,289041
389,319285
390,326505
391,320814
392,329738
393,161708
394,166518
395,327736
396,138096
397,138127
398,328651
399,161172
400,296997
401,219517
402,329118
403,163056
404,306197
405,160888
406,300907
407,331557
408,295530
409,323827
410,329163
411,305778
412,155462
413,162935
414,285450
415,281872
416,167624
417,161911
418,315605
419,327181
420,329712
421,162910
422,325420
423,315214
424,325380
425,333376
426,282081
427,300838
428,321185
429,313697
430,292514
431,294719
432,333324
433,319583
434,311770
435,311024
436,161885
437,153674
438,319073
439,289448
440,307020
441,331170
442,329084
443,173654
444,305978
445,165773
446,140986
447,163087
448,321649
449,282411
450,162376
451,315668
452,332012
453,328405
454,308490
455,162119
456,324444
457,322511
458,301096
459,309929
460,304741
461,331796
462,328374
463,287492
464,310806
465,166573
466,312396
467,162122
468,319605
469,173793
470,311187
471,162511
472,298424
473,330077
474,331628
475,311837
476,163649
477,321781
478,269899
479,305085
480,161747
481,282917
482,314984
483,159168
484,137537
485,298430
486,283621
487,289876
488,161052
489,321188
490,326487
491,282525
492,291230
493,315295
494,311027
495,281114
496,332915
497,281220
498,328432
499,301859
500,291128
501,328500
502,162019
503,316630
504,333718
505,310931
506,173189
507,301280
508,322383
509,286141
510,164313
511,325177
512,290647
513,332228
514,309328
515,317142
516,161838
517,331955
518,316569
519,167059
520,317116
521,300051
522,320686
523,326765
524,323728
525,333139
526,168504
527,300952
528,310909
529,160885
530,309843
531,318272
532,161739
533,311786
534,323774
535,163660
536,314494
537,174033
538,325307
539,163477
540,334133
541,315808
542,319739
543,326471
544,161248
545,333342
546,161817
547,330003
548,331195
549,310599
550,300995
551,162050
552,160264
553,286383
554,287636
555,161136
556,317467
557,310491
558,329991
559,174084
560,287662
561,301351
562,327957
563,163377
564,298486
565,300450
566,308886
567,328881
568,313241
569,332656
570,330392
571,283001
572,305848
573,328366
574,310575
575,164338
576,323080
577,301994
578,296794
579,161857
580,172028
581,163688
582,321050
583,306957
584,331202
585,291857
586,330736
587,163513
588,161371
589,314734
590,316482
591,323733
592,323189
593,323900
594,292536
595,170952
596,321970
597,164152
598,301033
599,161592
600,300688
601,332579
602,162959
603,329709
604,313288
605,329421
606,289885
607,329744
608,297392
609,333359
610,329560
611,292273
612,292555
613,172667
614,162659
615,321068
616,307841
617,294792
618,170477
619,298224
620,282101
621,281565
622,318372
623,161813
624,284492
625,324162
626,300580
627,162124
628,170947
629,323105
630,332110
631,316330
632,332724
633,163142
634,333507
635,290649
636,315206
637,282722
638,326650
639,287804
640,327647
641,326574
642,160881
643,308128
644,162301
645,162253
646,168123
647,173004
648,165691
649,298903
650,322004
651,311859
652,331197
653,315640
654,331495
655,294383
656,286525
657,306495
658,313278
659,326790
660,333513
661,329892
662,317384
663,325402
664,323089
665,319245
666,322239
667,326502
668,309472
669,281120
670,288536
671,172635
672,160391
673,282546
674,163102
675,161485
676,326000
677,316850
678,288042
679,328245
680,164128
681,307488
682,287890
683,168499
684,285984
685,315839
686,162566
687,326444
688,173662
689,304493
690,287640
691,162937
692,332474
693,160573
694,284364
695,331670
696,317056
697,330557
698,300668
699,163375
700,320685
701,290380
702,331815
703,282352
704,315508
705,175510
706,161213
707,283090
708,327080
709,311832
710,167928
711,283977
712,281523
713,313429
714,173743
715,306277
716,311065
717,330301
718,318340
719,163710
720,323970
721,283265
722,329316
723,327160
724,306955
725,310564
726,163175
727,309566
728,136937
729,168169
730,327037
731,329740
732,320810
733,318250
734,329370
735,332289
736,314339
737,325205
738,330536
739,297826
740,277074
741,287541
742,325699
743,191513
744,281171
745,296621
746,281047
747,160069
748,326205
749,297544
750,325186
751,226516
752,325520
753,331645
754,165503
755,144453
756,322702
757,161031
758,172145
759,311115
760,168962
761,283883
762,331373
763,321729
764,285774
765,287858
766,169160
767,327941
768,138552
769,316494
770,313751
771,166060
772,322338
773,323886
774,162978
775,159488
776,326746
777,307463
778,333025
779,306138
780,312609
781,314518
782,288073
783,162676
784,293352
785,321815
786,330591
787,310083
788,308389
789,300157
790,171092
791,172713
792,162914
793,321192
794,298750
795,151868
796,331574
797,330277
798,316853
799,162263
800,286277
801,311728
802,316373
803,316797
804,308361
805,330407
806,319023
807,315878
808,175363
809,315981
810,307981
811,160118
812,162141
813,285906
814,290566
815,285618
816,322333
817,282157
818,164231
819,282210
820,332641
821,331761
822,163335
823,317220
824,313990
825,291547
826,331555
827,327911
828,288423
829,326987
830,319734
831,217512
832,285726
833,186512
834,288628
835,169534
836,286361
837,309103
838,327695
839,172104
840,175069
841,304948
842,332567
843,332848
844,165430
845,313971
846,328403
847,297551
848,314347
849,328210
850,172645
851,322446
852,312735
853,306950
854,307367
855,317752
856,173422
857,329251
858,321202
859,289026
860,322098
861,172512
862,325912
863,282000
864,331965
865,314186
866,307843
867,159877
868,331506
869,306103
870,287867
871,162285
872,329977
873,307080
874,314169
875,326783
876,282790
877,311820
878,305863
879,310109
880,321155
881,306916
882,325814
883,302017
884,329116
885,329610
886,291118
887,305415
888,163299
889,130152
890,317255
891,323933
892,162290
893,323329
894,160496
895,313054
896,312613
897,283529
898,281765
899,283371
900,323680
901,286047
902,160328
903,309667
904,291512
905,159774
906,315764
907,174282
908,161737
909,305897
910,161805
911,295197
912,162127
913,149744
914,160550
915,284542
916,289446
917,297342
918,329531
919,129769
920,323522
921,326613
922,170595
923,314285
924,298264
925,190513
926,163191
927,333437
928,162093
929,173702
930,166897
931,331251
932,298534
933,163018
934,165475
935,307073
936,162925
937,172397
938,307535
939,333533
940,146896
941,330281
942,163068
943,328218
944,331097
945,324408
946,331766
947,304552
948,163233
949,321060
950,316685
951,328223
952,331849
953,174219
954,333148
955,306098
956,315124
957,330918
958,324856
959,297191
960,310686
961,304564
962,331679
963,300001
964,319181
965,309705
966,162943
967,165312
968,309268
969,287764
970,288032
971,171606
972,160070
973,305065
974,167870
975,318831
976,162312
977,285540
978,321758
979,162286
980,308019
981,331287
982,226647
983,135545
984,162938
985,331158
986,308885
987,322319
988,325030
989,314377
990,327997
991,163661
992,329539
993,299332
994,312935
995,288140
996,309944
997,306543
998,304233
999,333257
1000,162657
1001,160101
1002,173651
1003,329645
1004,316520
1005,174360
1006,315994
1007,288220
1008,158592
1009,328660
1010,332885
1011,167192
1012,316219
1013,288138
1014,284573
1015,314598
1016,299803
1017,321965
1018,330148
1019,308908
1020,323552
1021,326735
1022,174731
1023,162336
1024,312360
1025,161594
1026,162586
1027,161292
1028,164614
1029,319572
1030,163037
1031,322442
1032,164242
1033,209514
1034,317440
1035,299478
1036,310061
1037,162791
1038,333714
1039,308394
1040,294412
1041,160522
1042,326807
1043,297212
1044,329398
1045,283272
1046,291239
1047,163489
1048,297483
1049,318891
1050,284180
1051,327084
1052,322778
1053,167493
1054,283349
1055,301113
1056,164034
1057,331912
1058,326806
1059,162000
1060,288739
1061,326119
1062,332554
1063,304960
1064,325968
1065,316496
1066,312920
1067,291870
1068,314021
1069,282721
1070,314029
1071,313437
1072,283173
1073,283519
1074,159866
1075,166508
1076,162108
1077,319487
1078,281327
1079,286114
1080,282442
1081,162710
1082,161903
1083,320932
1084,326570
1085,175454
1086,163182
1087,328121
1088,161179
1089,282849
1090,329585
1091,315034
1092,327959
1093,283136
1094,158333
1095,299958
1096,162064
1097,322223
1098,305520
1099,121742
1100,162361
1101,163478
1102,283646
1103,334083
1104,323691
1105,161863
1106,163236
1107,164135
1108,310400
1109,324159
1110,163664
1111,161887
1112,311862
1113,306608
1114,331061
1115,333491
1116,281148
1117,311972
1118,170205
1119,327811
1120,292571
1121,323204
1122,162711
1123,309115
1124,125929
1125,330530
1126,322019
1127,299417
1128,160848
1129,307808
1130,163297
1131,162869
1132,327693
1133,169079
1134,299671
1135,326413
1136,307333
1137,301061
1138,330294
1139,307701
1140,329183
1141,283164
1142,174037
1143,163002
1144,171759
1145,327650
1146,325369
1147,301210
1148,161055
1149,324547
1150,317145
1151,330061
1152,168055
1153,324468
1154,312590
1155,148181
1156,162759
1157,175237
1158,324009
1159,316211
1160,284424
1161,284853
1162,306044
1163,305564
1164,277102
1165,322958
1166,319266
1167,326677
1168,328285
1169,159723
1170,314487
1171,314621
1172,323275
1173,285321
1174,290187
1175,330514
1176,163630
1177,300989
1178,328200
1179,305846
1180,305151
1181,318814
1182,288251
1183,299748
1184,161384
1185,162853
1186,308064
1187,316039
1188,174588
1189,162832
1190,325662
1191,296787
1192,163227
1193,289031
1194,311535
1195,166004
1196,167770
1197,292773
1198,332288
1199,281136
1200,321913
1201,322285
