,0
0,157216
1,314119
2,284959
3,300956
4,309765
5,310214
6,313308
7,330039
8,302068
9,165345
10,269928
11,332556
12,310136
13,162461
14,161930
15,330745
16,319399
17,289165
18,328555
19,319424
20,161092
21,316487
22,298029
23,322087
24,297626
25,160515
26,321232
27,287923
28,160900
29,289087
30,308938
31,315256
32,162652
33,324979
34,324735
35,159746
36,314513
37,171174
38,323538
39,329357
40,324330
41,163005
42,152244
43,161796
44,162463
45,162041
46,168427
47,289786
48,299903
49,326828
50,174311
51,161920
52,165365
53,329751
54,188519
55,309959
56,330779
57,328031
58,309465
59,283298
60,318277
61,326882
62,315503
63,311206
64,315330
65,328822
66,291942
67,308380
68,328978
69,290704
70,160677
71,163520
72,170221
73,300974
74,326759
75,307665
76,157501
77,320731
78,164965
79,317447
80,282922
81,163201
82,333417
83,317820
84,304571
85,333087
86,166274
87,333406
88,170169
89,328576
90,160112
91,289991
92,166302
93,171083
94,125053
95,293867
96,315894
97,317681
98,159568
99,312765
100,175414
101,331819
102,289442
103,174123
104,162015
105,331599
106,173927
107,162830
108,301889
109,160993
110,308878
111,323052
112,161513
113,287752
114,317100
115,160633
116,319574
117,327755
118,283436
119,171870
120,323231
121,161676
122,298267
123,321920
124,288681
125,330520
126,316609
127,332205
128,325472
129,313723
130,226602
131,157246
132,319009
133,164104
134,324994
135,161620
136,310303
137,332683
138,174076
139,243789
140,162788
141,162113
142,326115
143,166680
144,299870
145,290337
146,306949
147,271036
148,333095
149,322751
150,313542
151,307630
152,318832
153,291388
154,318337
155,329020
156,326456
157,164063
158,312616
159,163260
160,315071
161,162345
162,298933
163,177528
164,313952
165,327954
166,282368
167,317184
168,328919
169,310726
170,163667
171,317404
172,327298
173,326349
174,315099
175,328368
176,286664
177,161827
178,282513
179,314354
180,319450
181,324017
182,322847
183,309510
184,162154
185,323298
186,329868
187,117815
188,325776
189,283132
190,165827
191,284381
192,326314
193,333515
194,297656
195,308933
196,173088
197,323771
198,313693
199,157922
200,163090
201,329933
202,289569
203,294882
204,293249
205,162989
206,161847
207,299567
208,301966
209,308475
210,163881
211,299843
212,329232
213,329815
214,309384
215,327556
216,172833
217,323953
218,161447
219,308978
220,317080
221,313330
222,330178
223,312046
224,324939
225,162513
226,166493
227,324710
228,327638
229,163181
230,300911
231,317910
232,306018
233,281571
234,284664
235,327071
236,161685
237,296897
238,162116
239,163586
240,330705
241,332436
242,327719
243,162760
244,297739
245,318767
246,308415
247,328384
248,163334
249,162533
250,284798
251,163364
252,309488
253,171814
254,316164
255,323481
256,319569
257,298710
258,167937
259,159838
260,325870
261,174132
262,321956
263,138648
264,305456
265,328661
266,321150
267,294007
268,289341
269,327059
270,299690
271,312847
272,160994
273,167850
274,326636
275,330253
276,332081
277,295647
278,314073
279,296502
280,317436
281,170971
282,327782
283,333408
284,319057
285,323607
286,322243
287,163866
288,312931
289,319138
290,308981
291,175090
292,283875
293,282494
294,306736
295,307143
296,172817
297,329198
298,322180
299,298455
300,285951
301,327952
302,285491
303,315272
304,312023
305,331676
306,163395
307,288228
308,326031
309,334012
310,162089
311,312506
312,292364
313,301716
314,307383
315,312011
316,161103
317,324180
318,310675
319,299325
320,324793
321,321928
322,311866
323,161890
324,331166
325,297085
326,147740
327,172471
328,158075
329,289173
330,161912
331,311659
332,282191
333,160989
334,170704
335,288264
336,331797
337,158461
338,294326
339,288186
340,318906
341,284800
342,306610
343,288752
344,318627
345,329979
346,325478
347,324683
348,298873
349,163354
350,301473
351,163176
352,300468
353,295204
354,163492
355,284169
356,175221
357,318923
358,293295
359,317079
360,301196
361,163541
362,308516
363,316886
364,282493
365,297509
366,164246
367,167803
368,326598
369,300127
370,315283
371,308051
372,286156
373,162052
374,283782
375,328741
376,170056
377,304394
378,305335
379,175074
380,163281
381,289041
382,319285
383,326505
384,320814
385,161708
386,166518
387,327736
388,138096
389,138127
390,328651
391,161172
392,296997
393,219517
394,163056
395,306197
396,300907
397,331557
398,295530
399,323827
400,329163
401,305778
402,155462
403,162935
404,285450
405,281872
406,167624
407,161911
408,315605
409,327181
410,329712
411,162910
412,325420
413,315214
414,325380
415,333376
416,282081
417,300838
418,321185
419,313697
420,292514
421,294719
422,333324
423,319583
424,311770
425,311024
426,161885
427,153674
428,319073
429,289448
430,307020
431,329084
432,173654
433,305978
434,165773
435,140986
436,163087
437,321649
438,282411
439,162376
440,315668
441,332012
442,328405
443,308490
444,162119
445,324444
446,322511
447,319666
448,301096
449,309929
450,304741
451,331796
452,328374
453,287492
454,310806
455,166573
456,312396
457,162122
458,319605
459,173793
460,311187
461,162511
462,298424
463,330077
464,331628
465,311837
466,163649
467,321781
468,269899
469,305085
470,161747
471,282917
472,314984
473,159168
474,137537
475,298430
476,283621
477,289876
478,161052
479,321188
480,326487
481,282525
482,291230
483,315295
484,311027
485,281114
486,281220
487,328432
488,301859
489,291128
490,328500
491,162019
492,316630
493,333718
494,310931
495,173189
496,301280
497,322383
498,286141
499,164313
500,325177
501,290647
502,332228
503,309328
504,317142
505,161838
506,331955
507,316569
508,167059
509,317116
510,300051
511,320686
512,326765
513,323728
514,333139
515,168504
516,300952
517,310909
518,160885
519,309843
520,318272
521,161739
522,311786
523,163660
524,314494
525,174033
526,325307
527,163477
528,334133
529,315808
530,319739
531,326471
532,161248
533,333342
534,161817
535,330003
536,331195
537,310599
538,300995
539,160264
540,286383
541,287636
542,161136
543,317467
544,310491
545,174084
546,287662
547,301351
548,327957
549,163377
550,298486
551,308886
552,328881
553,313241
554,332656
555,330392
556,283001
557,305848
558,328366
559,310575
560,164338
561,323080
562,301994
563,296794
564,161857
565,172028
566,163688
567,321050
568,306957
569,331202
570,291857
571,330736
572,163513
573,161371
574,314734
575,316482
576,323733
577,323189
578,323900
579,292536
580,170952
581,321970
582,164152
583,161592
584,300688
585,301033
586,332579
587,162959
588,329709
589,313288
590,329421
591,289885
592,329744
593,297392
594,329560
595,292273
596,292555
597,172667
598,162659
599,321068
600,307841
601,294792
602,298224
603,170477
604,282101
605,281565
606,161813
607,284492
608,324162
609,300580
610,162124
611,170947
612,323105
613,332110
614,316330
615,332724
616,163142
617,333507
618,290649
619,315206
620,282722
621,287804
622,327647
623,326574
624,160881
625,162301
626,308128
627,162253
628,168123
629,173004
630,165691
631,298903
632,322004
633,311859
634,315640
635,331495
636,294383
637,286525
638,306495
639,333513
640,329892
641,317384
642,325402
643,323089
644,319245
645,322239
646,326502
647,309472
648,281120
649,288536
650,172635
651,160391
652,282546
653,161485
654,326000
655,316850
656,288042
657,328245
658,164128
659,307488
660,287890
661,168499
662,285984
663,315839
664,162566
665,326444
666,173662
667,304493
668,287640
669,162937
670,332474
671,160573
672,284364
673,331670
674,317056
675,330557
676,300668
677,163375
678,320685
679,290380
680,331815
681,282352
682,315508
683,175510
684,161213
685,283090
686,327080
687,311832
688,167928
689,283977
690,281523
691,313429
692,173743
693,306277
694,311065
695,330301
696,318340
697,163710
698,323970
699,283265
700,329316
701,327160
702,306955
703,310564
704,163175
705,309566
706,136937
707,168169
708,327037
709,329740
710,320810
711,318250
712,329370
713,332289
714,314339
715,325205
716,330536
717,277074
718,325699
719,191513
720,287541
721,281171
722,296621
723,281047
724,160069
725,326205
726,297544
727,325186
728,226516
729,325520
730,331645
731,165503
732,144453
733,322702
734,161031
735,172145
736,311115
737,168962
738,283883
739,321729
740,285774
741,287858
742,169160
743,327941
744,138552
745,316494
746,313751
747,166060
748,322338
749,323886
750,162978
751,159488
752,326746
753,307463
754,333025
755,306138
756,312609
757,314518
758,288073
759,162676
760,293352
761,321815
762,330591
763,310083
764,308389
765,300157
766,171092
767,172713
768,162914
769,321192
770,298750
771,151868
772,331574
773,316853
774,162263
775,334215
776,286277
777,311728
778,316373
779,316797
780,308361
781,330407
782,319023
783,315878
784,175363
785,315981
786,160118
787,307981
788,162141
789,285906
790,290566
791,285618
792,322333
793,282157
794,164231
795,282210
796,332641
797,331761
798,163335
799,317220
800,313990
801,291547
802,331555
803,327911
804,333816
805,288423
806,326987
807,319734
808,217512
809,285726
810,186512
811,288628
812,169534
813,286361
814,309103
815,327695
816,172104
817,175069
818,304948
819,332567
820,332848
821,165430
822,313971
823,328403
824,314347
825,297551
826,328210
827,172645
828,322446
829,312735
830,306950
831,307367
832,317752
833,173422
834,329251
835,321202
836,289026
837,322098
838,172512
839,325912
840,282000
841,331965
842,314186
843,307843
844,159877
845,306103
846,287867
847,162285
848,329977
849,307080
850,314169
851,326783
852,282790
853,311820
854,305863
855,310109
856,321155
857,306916
858,325814
859,302017
860,329116
861,329610
862,291118
863,305415
864,163299
865,334434
866,130152
867,317255
868,323933
869,162290
870,160496
871,313054
872,312613
873,283529
874,281765
875,283371
876,323680
877,286047
878,160328
879,309667
880,291512
881,159774
882,315764
883,174282
884,161737
885,334145
886,305897
887,161805
888,295197
889,162127
890,149744
891,160550
892,284542
893,289446
894,297342
895,329531
896,129769
897,323522
898,326613
899,170595
900,314285
901,298264
902,190513
903,163191
904,333437
905,162093
906,173702
907,166897
908,331251
909,298534
910,163018
911,165475
912,307073
913,162925
914,172397
915,307535
916,333533
917,146896
918,163068
919,328218
920,331097
921,333204
922,324408
923,331766
924,304552
925,163233
926,321060
927,316685
928,328223
929,331849
930,174219
931,333148
932,306098
933,315124
934,330918
935,324856
936,297191
937,310686
938,304564
939,331679
940,333189
941,334239
942,300001
943,319181
944,309705
945,162943
946,165312
947,309268
948,287764
949,288032
950,171606
951,160070
952,305065
953,167870
954,318831
955,162312
956,285540
957,321758
958,333584
959,331287
960,308019
961,226647
962,135545
963,162938
964,331158
965,308885
966,322319
967,325030
968,314377
969,327997
970,163661
971,329539
972,299332
973,312935
974,288140
975,309944
976,306543
977,304233
978,333257
979,162657
980,160101
981,173651
982,329645
983,316520
984,174360
985,315994
986,288220
987,158592
988,328660
989,167192
990,316219
991,288138
992,284573
993,314598
994,299803
995,321965
996,330148
997,308908
998,323552
999,326735
1000,174731
1001,162336
1002,312360
1003,161594
1004,162586
1005,161292
1006,164614
1007,319572
1008,163037
1009,322442
1010,164242
1011,209514
1012,317440
1013,299478
1014,310061
1015,162791
1016,333714
1017,308394
1018,294412
1019,160522
1020,326807
1021,297212
1022,329398
1023,283272
1024,291239
1025,163489
1026,297483
1027,318891
1028,284180
1029,322778
1030,327084
1031,167493
1032,283349
1033,301113
1034,164034
1035,331912
1036,326806
1037,162000
1038,288739
1039,326119
1040,304960
1041,325968
1042,316496
1043,312920
1044,291870
1045,314021
1046,282721
1047,310815
1048,314029
1049,313437
1050,283173
1051,283519
1052,159866
1053,166508
1054,162108
1055,319487
1056,281327
1057,286114
1058,282442
1059,162710
1060,161903
1061,320932
1062,326570
1063,175454
1064,163182
1065,328121
1066,161179
1067,282849
1068,329585
1069,315034
1070,283136
1071,158333
1072,299958
1073,162064
1074,322223
1075,305520
1076,121742
1077,162361
1078,163478
1079,283646
1080,334083
1081,323691
1082,161863
1083,163236
1084,164135
1085,310400
1086,324159
1087,163664
1088,161887
1089,311862
1090,306608
1091,331061
1092,333491
1093,281148
1094,311972
1095,170205
1096,327811
1097,292571
1098,323204
1099,162711
1100,309115
1101,125929
1102,330530
1103,322019
1104,299417
1105,160848
1106,307808
1107,163297
1108,162869
1109,327693
1110,169079
1111,299671
1112,307333
1113,326413
1114,301061
1115,330294
1116,307701
1117,329183
1118,283164
1119,174037
1120,163002
1121,171759
1122,327650
1123,325369
1124,301210
1125,326367
1126,161055
1127,317145
1128,330061
1129,168055
1130,324468
1131,312590
1132,148181
1133,162759
1134,175237
1135,324009
1136,316211
1137,284424
1138,284853
1139,306044
1140,305564
1141,277102
1142,322958
1143,319266
1144,326677
1145,328285
1146,159723
1147,314487
1148,314621
1149,323275
1150,285321
1151,290187
1152,330514
1153,163630
1154,300989
1155,328200
1156,305846
1157,305151
1158,318814
1159,288251
1160,299748
1161,161384
1162,162853
1163,308064
1164,316039
1165,174588
1166,162832
1167,325662
1168,296787
1169,163227
1170,289031
1171,311535
1172,166004
1173,167770
1174,292773
1175,332288
1176,281136
1177,321913
1178,322285
1179,310495
1180,326916
1181,319020
1182,168265
1183,295160
1184,318254
1185,277151
1186,315576
1187,316885
1188,162838
1189,319283
1190,320788
1191,286481
1192,285530
1193,174489
1194,160237
1195,329793
1196,162720
1197,161345
1198,281361
1199,317015
1200,291219
1201,162842
