,0
0,157216
1,314119
2,284959
3,300956
4,309765
5,310214
6,313308
7,330039
8,302068
9,165345
10,269928
11,310136
12,334247
13,332556
14,161930
15,162461
16,319399
17,328555
18,330745
19,289165
20,319424
21,161092
22,316487
23,322087
24,297626
25,298029
26,160515
27,321232
28,287923
29,160900
30,289087
31,308938
32,162652
33,315256
34,314513
35,324735
36,324979
37,159746
38,171174
39,323538
40,329357
41,324330
42,163005
43,152244
44,161796
45,162463
46,162041
47,168427
48,289786
49,299903
50,165365
51,174311
52,329751
53,161920
54,330779
55,188519
56,309959
57,328031
58,309465
59,283298
60,326882
61,318277
62,315503
63,311206
64,291942
65,315330
66,328822
67,290704
68,308380
69,328978
70,160677
71,163520
72,170221
73,300974
74,326759
75,157501
76,317447
77,307665
78,320731
79,164965
80,282922
81,163201
82,333417
83,317820
84,304571
85,333087
86,166274
87,333406
88,170169
89,328576
90,160112
91,166302
92,289991
93,171083
94,125053
95,159568
96,175414
97,293867
98,312765
99,315894
100,317681
101,331819
102,289442
103,173927
104,174123
105,331599
106,162015
107,301889
108,162830
109,160993
110,323052
111,308878
112,161513
113,287752
114,317100
115,160633
116,319574
117,327755
118,171870
119,323231
120,283436
121,321920
122,161676
123,298267
124,332205
125,288681
126,325472
127,330520
128,313723
129,316609
130,157246
131,164104
132,226602
133,319009
134,161620
135,324994
136,310303
137,332683
138,174076
139,166680
140,243789
141,162788
142,162113
143,326115
144,299870
145,306949
146,333095
147,290337
148,271036
149,322751
150,313542
151,307630
152,318832
153,291388
154,318337
155,326456
156,329020
157,331507
158,164063
159,312616
160,163260
161,315071
162,162345
163,298933
164,177528
165,317184
166,327954
167,313952
168,282368
169,328919
170,310726
171,163667
172,317404
173,327298
174,315099
175,326349
176,286664
177,328368
178,161827
179,314354
180,324017
181,282513
182,319450
183,322847
184,334527
185,309510
186,162154
187,323298
188,117815
189,329868
190,325776
191,283132
192,165827
193,284381
194,326314
195,333515
196,297656
197,308933
198,173088
199,323771
200,313693
201,157922
202,163090
203,329933
204,293249
205,289569
206,294882
207,162989
208,161847
209,301966
210,299567
211,308475
212,163881
213,299843
214,327556
215,329232
216,329815
217,161447
218,172833
219,323953
220,313330
221,308978
222,317080
223,330178
224,312046
225,324939
226,166493
227,324710
228,162513
229,300911
230,327638
231,163181
232,317910
233,284664
234,306018
235,281571
236,327071
237,161685
238,163586
239,296897
240,162116
241,330705
242,332436
243,162760
244,327719
245,318767
246,297739
247,308415
248,328384
249,163334
250,162533
251,284798
252,163364
253,171814
254,305337
255,316164
256,309488
257,167937
258,319569
259,323481
260,298710
261,159838
262,325870
263,174132
264,321956
265,138648
266,328661
267,305456
268,321150
269,294007
270,327059
271,289341
272,299690
273,312847
274,160994
275,167850
276,326636
277,330253
278,295647
279,332081
280,314073
281,296502
282,327782
283,333408
284,317436
285,170971
286,319057
287,163866
288,323607
289,322243
290,175090
291,308981
292,319138
293,334597
294,283875
295,312931
296,172817
297,306736
298,329198
299,282494
300,307143
301,285951
302,298455
303,322180
304,285491
305,315272
306,327952
307,312023
308,331676
309,163395
310,288228
311,326031
312,292364
313,301716
314,312506
315,334012
316,162089
317,310675
318,307383
319,312011
320,161103
321,324180
322,321928
323,299325
324,324793
325,161890
326,311866
327,331166
328,147740
329,297085
330,172471
331,158075
332,161912
333,289173
334,311659
335,282191
336,160989
337,170704
338,331797
339,288264
340,158461
341,294326
342,288186
343,318906
344,284800
345,306610
346,288752
347,318627
348,329979
349,325478
350,301473
351,298873
352,163354
353,324683
354,175221
355,284169
356,293295
357,300468
358,318923
359,295204
360,163176
361,163492
362,301196
363,317079
364,163541
365,308516
366,316886
367,282493
368,297509
369,330806
370,164246
371,167803
372,326598
373,335181
374,286156
375,315283
376,300127
377,308051
378,283782
379,334869
380,162052
381,335102
382,170056
383,328741
384,304394
385,305335
386,163281
387,175074
388,289041
389,319285
390,326505
391,320814
392,161708
393,166518
394,327736
395,334410
396,138096
397,138127
398,296997
399,328651
400,161172
401,219517
402,163056
403,306197
404,295530
405,331557
406,300907
407,334547
408,323827
409,329163
410,305778
411,155462
412,162935
413,285450
414,281872
415,167624
416,161911
417,315605
418,162910
419,329712
420,333376
421,327181
422,325420
423,315214
424,325380
425,282081
426,300838
427,321185
428,313697
429,292514
430,311770
431,319583
432,294719
433,333324
434,311024
435,153674
436,161885
437,319073
438,289448
439,307020
440,173654
441,305978
442,329084
443,140986
444,163087
445,321649
446,165773
447,282411
448,162376
449,334086
450,315668
451,332012
452,324444
453,328405
454,308490
455,162119
456,301096
457,322511
458,319666
459,309929
460,304741
461,331796
462,328374
463,310806
464,287492
465,166573
466,173793
467,319605
468,312396
469,162122
470,311187
471,162511
472,298424
473,331628
474,330077
475,311837
476,305085
477,163649
478,321781
479,269899
480,161747
481,282917
482,159168
483,314984
484,137537
485,298430
486,283621
487,289876
488,161052
489,321188
490,291230
491,326487
492,282525
493,311027
494,315295
495,281114
496,281220
497,328432
498,301859
499,291128
500,310931
501,162019
502,316630
503,333718
504,328500
505,286141
506,173189
507,301280
508,322383
509,164313
510,335337
511,325177
512,332228
513,290647
514,309328
515,317142
516,331955
517,161838
518,316569
519,167059
520,300051
521,317116
522,333139
523,320686
524,326765
525,323728
526,168504
527,160885
528,300952
529,310909
530,309843
531,318272
532,161739
533,311786
534,163660
535,314494
536,174033
537,325307
538,315808
539,163477
540,334133
541,319739
542,161248
543,333342
544,326471
545,161817
546,330003
547,331195
548,310599
549,161136
550,287636
551,300995
552,286383
553,160264
554,310491
555,317467
556,174084
557,287662
558,301351
559,327957
560,298486
561,328881
562,163377
563,308886
564,313241
565,332656
566,330392
567,283001
568,305848
569,328366
570,164338
571,310575
572,301994
573,323080
574,161857
575,296794
576,172028
577,163688
578,321050
579,306957
580,331202
581,291857
582,330736
583,163513
584,161371
585,314734
586,316482
587,323733
588,323189
589,323900
590,161592
591,164152
592,300688
593,301033
594,170952
595,321970
596,292536
597,313288
598,332579
599,329709
600,162959
601,332646
602,329421
603,329744
604,289885
605,297392
606,292273
607,292555
608,329560
609,172667
610,321068
611,162659
612,315604
613,307841
614,170477
615,298224
616,294792
617,284492
618,281565
619,282101
620,161813
621,324162
622,300580
623,162124
624,170947
625,323105
626,332110
627,332724
628,163142
629,333507
630,290649
631,315206
632,326574
633,327647
634,282722
635,287804
636,162301
637,308128
638,160881
639,162253
640,168123
641,165691
642,173004
643,334100
644,298903
645,322004
646,311859
647,315640
648,294383
649,331495
650,329892
651,333513
652,306495
653,286525
654,325402
655,329838
656,323089
657,319245
658,322239
659,326502
660,309472
661,281120
662,288536
663,172635
664,160391
665,282546
666,316850
667,326000
668,161485
669,288042
670,328245
671,164128
672,307488
673,334322
674,285984
675,168499
676,162566
677,315839
678,173662
679,287640
680,304493
681,326444
682,162937
683,332474
684,160573
685,284364
686,331670
687,300668
688,317056
689,330557
690,163375
691,320685
692,290380
693,331815
694,282352
695,175510
696,283090
697,315508
698,161213
699,327080
700,311832
701,167928
702,283977
703,306277
704,311065
705,330301
706,281523
707,313429
708,318340
709,163710
710,283265
711,323970
712,327160
713,329316
714,306955
715,310564
716,309566
717,163175
718,136937
719,168169
720,327037
721,329740
722,320810
723,318250
724,329370
725,332289
726,325205
727,330536
728,314339
729,277074
730,191513
731,325699
732,287541
733,281171
734,296621
735,281047
736,326205
737,160069
738,226516
739,297544
740,325186
741,325520
742,165503
743,331645
744,168962
745,172145
746,144453
747,322702
748,161031
749,311115
750,283883
751,334373
752,321729
753,285774
754,138552
755,287858
756,169160
757,327941
758,316494
759,159488
760,313751
761,322338
762,326746
763,166060
764,323886
765,162978
766,307463
767,312609
768,333025
769,306138
770,162676
771,288073
772,293352
773,314518
774,334979
775,308389
776,321815
777,330591
778,310083
779,172713
780,300157
781,171092
782,162914
783,321192
784,298750
785,151868
786,331574
787,162263
788,316853
789,334215
790,316373
791,316797
792,311728
793,175079
794,308361
795,330407
796,319023
797,333773
798,175363
799,315981
800,160118
801,315878
802,307981
803,162141
804,285906
805,290566
806,292578
807,285618
808,322333
809,164231
810,282210
811,332641
812,282157
813,313990
814,331761
815,163335
816,317220
817,291547
818,331555
819,327911
820,288423
821,319734
822,326987
823,333816
824,217512
825,285726
826,186512
827,288628
828,169534
829,286361
830,309103
831,332848
832,172104
833,175069
834,304948
835,332567
836,327695
837,165430
838,313971
839,328403
840,314347
841,297551
842,328210
843,172645
844,322446
845,312735
846,306950
847,307367
848,317752
849,173422
850,329251
851,289026
852,321202
853,322098
854,325912
855,331965
856,334592
857,172512
858,282000
859,314186
860,307843
861,159877
862,306103
863,287867
864,162285
865,329977
866,307080
867,334442
868,314169
869,326783
870,282790
871,335171
872,305863
873,311820
874,310109
875,306916
876,321155
877,325814
878,302017
879,329116
880,329610
881,332202
882,305415
883,291118
884,163299
885,334434
886,331861
887,130152
888,317255
889,323933
890,162290
891,312613
892,313054
893,160496
894,283529
895,281765
896,323680
897,283371
898,286047
899,160328
900,291512
901,309667
902,159774
903,315764
904,174282
905,305897
906,161737
907,334145
908,161805
909,295197
910,149744
911,160550
912,162127
913,284542
914,289446
915,297342
916,329531
917,323522
918,129769
919,326613
920,170595
921,314285
922,298264
923,190513
924,163191
925,162093
926,333437
927,173702
928,166897
929,331251
930,298534
931,163018
932,165475
933,307073
934,162925
935,307535
936,317682
937,172397
938,333533
939,146896
940,163068
941,328218
942,324408
943,331097
944,333204
945,304552
946,331222
947,331766
948,163233
949,174219
950,306098
951,321060
952,316685
953,328223
954,331849
955,333148
956,315124
957,330918
958,324856
959,310686
960,304564
961,331679
962,300001
963,333189
964,334239
965,162943
966,309705
967,319181
968,165312
969,309268
970,287764
971,288032
972,171606
973,160070
974,333153
975,305065
976,126144
977,167870
978,318831
979,162312
980,285540
981,321758
982,333584
983,308019
984,331287
985,135545
986,226647
987,162938
988,331158
989,322319
990,308885
991,334621
992,334346
993,314377
994,325030
995,327997
996,163661
997,329539
998,307453
999,299332
1000,334059
1001,312935
1002,288140
1003,309944
1004,306543
1005,304233
1006,162657
1007,160101
1008,173651
1009,174360
1010,316520
1011,329645
1012,288220
1013,315994
1014,316219
1015,158592
1016,328660
1017,167192
1018,288138
1019,284573
1020,314598
1021,299803
1022,321965
1023,330148
1024,308908
1025,326735
1026,323552
1027,174731
1028,312360
1029,162336
1030,161594
1031,162586
1032,161292
1033,164614
1034,319572
1035,163037
1036,322442
1037,164242
1038,209514
1039,317440
1040,299478
1041,162791
1042,310061
1043,308394
1044,333714
1045,160522
1046,326807
1047,294412
1048,297212
1049,329398
1050,283272
1051,163489
1052,291239
1053,284180
1054,318891
1055,297483
1056,301113
1057,322778
1058,167493
1059,283349
1060,327084
1061,326806
1062,331912
1063,164034
1064,162000
1065,288739
1066,326119
1067,304960
1068,325968
1069,316496
1070,291870
1071,312920
1072,314021
1073,282721
1074,310815
1075,314029
1076,313437
1077,159866
1078,166508
1079,283173
1080,283519
1081,319487
1082,162108
1083,281327
1084,286114
1085,282442
1086,162710
1087,320932
1088,161903
1089,326570
1090,175454
1091,163182
1092,328121
1093,161179
1094,282849
1095,329585
1096,315034
1097,283136
1098,158333
1099,316565
1100,299958
1101,162064
1102,322223
1103,305520
1104,121742
1105,162361
1106,163478
1107,334083
1108,283646
1109,323691
1110,161863
1111,164135
1112,310400
1113,163236
1114,161887
1115,324159
1116,163664
1117,306608
1118,311862
1119,331061
1120,281148
1121,333491
1122,311972
1123,170205
1124,327811
1125,292571
1126,323204
1127,162711
1128,309115
1129,125929
1130,307808
1131,322019
1132,330530
1133,299417
1134,160848
1135,334433
1136,162869
1137,327693
1138,163297
1139,169079
1140,299671
1141,307333
1142,326413
1143,301061
1144,330294
1145,163002
1146,171759
1147,307701
1148,174037
1149,329183
1150,283164
1151,301210
1152,327650
1153,325369
1154,326367
1155,161055
1156,317145
1157,168055
1158,330061
1159,162759
1160,324468
1161,312590
1162,148181
1163,175237
1164,284424
1165,334517
1166,324009
1167,316211
1168,284853
1169,305564
1170,306044
1171,319266
1172,277102
1173,322958
1174,326677
1175,328285
1176,159723
1177,314487
1178,314621
1179,323275
1180,285321
1181,290187
1182,330514
1183,163630
1184,300989
1185,328200
1186,318814
1187,305846
1188,305151
1189,161384
1190,299748
1191,288251
1192,162853
1193,308064
1194,162832
1195,174588
1196,316039
1197,163227
1198,296787
1199,325662
1200,289031
1201,166004
